;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
98;Senior / Lead PHP backend engineer (Symfony/Laravel);160000.0;;RUR;Санкт-Петербург;Alyce;https://api.hh.ru/employers/2708927;https://hh.ru/vacancy/41359178;Чернышевская;Литейный проспект;22;30.348971;59.943196
99;Программист 1С;15000.0;120000.0;RUR;Санкт-Петербург;Бизнес-Ориентированные Системы;https://api.hh.ru/employers/4137998;https://hh.ru/vacancy/41485558;;Цветочная улица;16;30.331813;59.886853
100;Senior/ Программист Python;150000.0;;RUR;Санкт-Петербург;Digift;https://api.hh.ru/employers/3881763;https://hh.ru/vacancy/40836909;Старая Деревня;улица Савушкина;83к3;30.250013;59.985003
101;Middle/Senior PHP-разработчик;130000.0;200000.0;RUR;Санкт-Петербург;Лидгид;https://api.hh.ru/employers/2291898;https://hh.ru/vacancy/41537860;;;;;
102;Ведущий разработчик битрикс 24;80000.0;160000.0;RUR;Санкт-Петербург;Мой Дом;https://api.hh.ru/employers/2863992;https://hh.ru/vacancy/41012363;;;;;
103;Front-End программист (senior);80000.0;;RUR;Санкт-Петербург;RuNetSoft;https://api.hh.ru/employers/243546;https://hh.ru/vacancy/39473368;Елизаровская;Октябрьская набережная;10к1;30.422444;59.912021
104;Middle/Senior PHP Developer;70000.0;120000.0;RUR;Санкт-Петербург;Аэро-Трейд;https://api.hh.ru/employers/1955882;https://hh.ru/vacancy/41555589;Петроградская;Аптекарская набережная;12;30.32327;59.975963
105;Full stack (Node.js, PHP, Ember) developer;4000.0;4500.0;USD;Санкт-Петербург;ОнТаргет ЛАБС;https://api.hh.ru/employers/850334;https://hh.ru/vacancy/41543097;;;;;
106;Middle backend developer;140000.0;;RUR;Санкт-Петербург;ПИLКИ;https://api.hh.ru/employers/1903752;https://hh.ru/vacancy/41615624;;;;;
107;Fullstack-инженер;90000.0;;RUR;Санкт-Петербург;Эквид;https://api.hh.ru/employers/1147526;https://hh.ru/vacancy/40464252;;;;;
108;PHP developer (middle+/senior);100000.0;;RUR;Санкт-Петербург;Leads;https://api.hh.ru/employers/783222;https://hh.ru/vacancy/41560486;;;;;
109;Full-Stack Developer to the UAE;8000.0;12000.0;USD;Санкт-Петербург;Soshace;https://api.hh.ru/employers/1738507;https://hh.ru/vacancy/41160562;;;;;
110;Разработчик Bitrix24;100000.0;;RUR;Санкт-Петербург;RuNetSoft;https://api.hh.ru/employers/243546;https://hh.ru/vacancy/40460292;Елизаровская;Октябрьская набережная;10к1;30.422444;59.912021
111;Middle Frontend developer;150000.0;;RUR;Санкт-Петербург;Skyeng;https://api.hh.ru/employers/1122462;https://hh.ru/vacancy/41639201;;;;;
112;Web-разработчик / программист;80000.0;;RUR;Санкт-Петербург;Федчин Антон Сергеевич;https://api.hh.ru/employers/3633134;https://hh.ru/vacancy/41503457;;Полюстровский проспект;32;30.388236;59.968362
113;Системный инженер / DevOps (удаленная работа);100000.0;180000.0;RUR;Санкт-Петербург;Git in Sky;https://api.hh.ru/employers/4606255;https://hh.ru/vacancy/41158881;;;;;
114;Middle Magento developer;100000.0;;RUR;Санкт-Петербург;Mygento eCommerce Solutions;https://api.hh.ru/employers/1643357;https://hh.ru/vacancy/36071016;Чернышевская;улица Чайковского;79;30.3656851865;59.9462288217
115;Руководитель отдела разработки Битрикс24;80000.0;120000.0;RUR;Санкт-Петербург;Dizlab. Digital агентство;https://api.hh.ru/employers/2425697;https://hh.ru/vacancy/40976354;;;;;
116;2nd Line Support Engineer (Fully Remote Job);1200.0;1500.0;USD;Санкт-Петербург;Openprovider;https://api.hh.ru/employers/1125266;https://hh.ru/vacancy/40897159;;;;;
117;Middle/Senior Frontend Developer;;170000.0;RUR;Санкт-Петербург;StudyWorld;https://api.hh.ru/employers/1013375;https://hh.ru/vacancy/41510754;;;;;
118;Начальник отдела информационных технологий с функционалом Full-Stack разработчика;80000.0;;RUR;Санкт-Петербург;Клевер;https://api.hh.ru/employers/1745141;https://hh.ru/vacancy/41603274;Горьковская;Большая Посадская улица;;30.32619;59.959314
